,Cr100,Cr100b,Cr10a,Cr10b,Cr20a,Cr20b,Cr40a,Cr40b,Cr60a,Cr60b,Cr80a,Cr80b,Am b,Am,Whey_a,Whey_b,W10a,W10b,W20a,W20b,W40a,W40b,W60a,W60b,W80a,W80b
3868,0.009702432,0.009794401,0.013358564,0.013855408,0.011597143,0.012099486,0.007800682,0.008227618,0.020077399,0.020461474,0.020300533,0.020543972,0.016506611,0.016284465,0.016949312,0.01674611,0.014517009,0.015151189,0.016017192,0.016258345,0.017378018,0.017776331,0.016186365,0.016345197,0.017516462,0.017454618
3866,0.009732284,0.009759132,0.013358185,0.013849856,0.011601242,0.012120398,0.007824784,0.008250198,0.020087848,0.020475865,0.020302889,0.020564651,0.016499746,0.016272266,0.016892367,0.016714549,0.014482069,0.015115062,0.015985995,0.016270694,0.01735933,0.017755889,0.01617077,0.016334663,0.017511823,0.01744142
3864,0.009747046,0.009742785,0.013334435,0.013848225,0.011583151,0.012151266,0.007827559,0.008253904,0.020079664,0.020486068,0.020280187,0.020565434,0.016497088,0.016268086,0.016868992,0.0167067,0.014478562,0.015070841,0.015967426,0.016281865,0.017356742,0.017756412,0.016147316,0.016314352,0.017514361,0.017427086
3862,0.009844361,0.009830739,0.013372836,0.01396895,0.011636834,0.012266272,0.007878174,0.008345264,0.020153394,0.020609124,0.020360093,0.020676573,0.016556466,0.016349672,0.016887077,0.016737686,0.014531296,0.015078346,0.016015481,0.016344436,0.017405575,0.017824112,0.016166214,0.016340294,0.017642576,0.017509804
3860,0.00993172,0.009899924,0.013407305,0.014062775,0.011689829,0.012330076,0.0079144,0.00842217,0.020215558,0.020700282,0.020425865,0.020772906,0.016593745,0.016412305,0.016845195,0.016751862,0.014547569,0.015064065,0.016053736,0.016367924,0.017405193,0.017830288,0.016170155,0.016354963,0.017717797,0.01757966
3858,0.009865288,0.009812834,0.013330543,0.013947413,0.011628791,0.012196637,0.007852579,0.008326974,0.020132812,0.02056578,0.02031659,0.020666508,0.016509756,0.016323385,0.016684258,0.016702567,0.014458524,0.01495221,0.015997653,0.016266606,0.017263652,0.017659485,0.016092039,0.016288141,0.017533546,0.01749568
3856,0.009681157,0.009641527,0.013179997,0.013700041,0.011482496,0.011978865,0.007738097,0.008129579,0.019954435,0.020302662,0.02009899,0.0204233,0.016372563,0.016153406,0.016524337,0.016631085,0.014344521,0.014815944,0.015891309,0.016113157,0.017087179,0.017436031,0.01598793,0.01619161,0.017208358,0.017328286
3854,0.009635619,0.009640988,0.013153119,0.013662627,0.01145092,0.01197812,0.0077422,0.008112439,0.019912408,0.020269301,0.020051622,0.020359088,0.016362646,0.016154242,0.016535633,0.016630412,0.01436721,0.014826926,0.0158871,0.016104349,0.017089224,0.017438156,0.015983183,0.016203046,0.017147702,0.017327912
3852,0.009683918,0.009740129,0.013154871,0.013809712,0.011462913,0.012059562,0.007752463,0.008129068,0.019907522,0.020367826,0.020094572,0.020381658,0.016365747,0.016235761,0.016664626,0.01666422,0.014479008,0.014924884,0.015943414,0.016228803,0.017163316,0.017605501,0.015980201,0.016219662,0.017352979,0.017434277
3850,0.009717295,0.009804482,0.013165839,0.013925123,0.011488323,0.0121019,0.007764222,0.008112799,0.019904491,0.020424952,0.020138306,0.020393991,0.016366634,0.016272896,0.016786739,0.016693833,0.014556835,0.01499666,0.015965575,0.016322561,0.017219952,0.017745365,0.01599371,0.016227514,0.017526237,0.017508692
